Datetime,beaconid,realx,realy,edge_50,edge_51,edge_53,edge_54,edge_55,edge_56,edge_58
2019-03-22T17:10:44.500000Z,3,8.375222222222222,4.819444444444445,-94.0,-71.33333333333333,-75.5,-72.4,-64.5,-76.5,-74.25
2019-03-22T17:10:45.000000Z,3,8.382777777777779,4.703555555555556,-85.0,-79.5,-67.0,-66.0,-79.66666666666667,-76.2,-77.66666666666667
2019-03-22T17:10:45.500000Z,3,8.390333333333334,4.587666666666667,-77.75,-78.0,-77.5,-70.2,-72.25,-78.33333333333333,-74.6
2019-03-22T17:10:46.000000Z,3,8.39788888888889,4.471777777777778,-83.0,-81.0,-76.33333333333333,-74.0,-87.0,-76.0,-73.66666666666667
2019-03-22T17:10:46.500000Z,3,8.405444444444445,4.355888888888889,-80.25,-81.5,-74.75,-68.5,-62.0,-73.0,-69.0
2019-03-22T17:10:47.000000Z,3,8.4145,4.063666666666667,-80.66666666666667,-76.4,-73.5,-61.0,-75.0,-78.33333333333333,-74.0
2019-03-22T17:10:47.500000Z,3,8.416,3.8873333333333333,-73.5,-72.5,-64.66666666666667,-69.25,-64.0,-72.33333333333333,-64.33333333333333
2019-03-22T17:10:48.000000Z,3,8.4175,3.7110000000000003,-82.25,-76.0,-56.0,-62.666666666666664,-67.75,-74.33333333333333,-66.5
2019-03-22T17:10:48.500000Z,3,8.419,3.534666666666667,-79.33333333333333,-70.0,-64.5,-67.0,-75.0,-72.66666666666667,-72.25
2019-03-22T17:10:49.000000Z,3,8.4205,3.3583333333333334,-72.0,-73.66666666666667,-72.0,-63.666666666666664,-71.0,-68.0,-60.5
2019-03-22T17:10:49.500000Z,3,8.266142857142858,3.1791428571428573,-72.0,-75.75,-71.25,-64.0,-76.5,-70.0,-68.0
2019-03-22T17:10:50.000000Z,3,8.110285714285714,3.176285714285714,-83.33333333333333,-80.0,-67.0,-76.5,-78.0,-76.0,-68.0
2019-03-22T17:10:50.500000Z,3,7.954428571428572,3.1734285714285715,-77.25,-68.66666666666667,-71.5,-68.66666666666667,-67.0,-59.0,-60.0
2019-03-22T17:10:51.000000Z,3,7.798571428571429,3.1705714285714284,-84.66666666666667,-81.0,-68.75,-68.66666666666667,-74.33333333333333,-74.2,-74.5
2019-03-22T17:10:51.500000Z,3,7.642714285714286,3.1677142857142857,-84.0,-77.33333333333333,-62.0,-77.0,-81.66666666666667,-72.8,-70.5
2019-03-22T17:10:52.000000Z,3,7.4868571428571435,3.1648571428571426,-68.0,-72.5,-71.4,-74.0,-76.0,-75.66666666666667,-64.5
2019-03-22T17:10:52.500000Z,3,7.187625000000001,3.051875,-76.0,-72.0,-76.75,-78.0,-81.75,-72.33333333333333,-88.5
2019-03-22T17:10:53.000000Z,3,7.04425,2.94175,-86.0,-63.0,-67.75,-75.0,-87.0,-78.5,-64.8
2019-03-22T17:10:53.500000Z,3,6.900875,2.831625,-92.0,-65.5,-59.5,-71.0,-76.0,-78.5,-66.8
2019-03-22T17:10:54.000000Z,3,6.7575,2.7215,-78.5,-64.66666666666667,-68.2,-76.66666666666667,-80.0,-74.0,-64.66666666666667
2019-03-22T17:10:54.500000Z,3,6.6141250000000005,2.611375,-78.5,-62.0,-66.5,-68.5,-75.0,-68.0,-65.75
2019-03-22T17:10:55.000000Z,3,6.470750000000001,2.50125,-74.5,-65.5,-75.5,-87.0,-75.0,-69.0,-62.0
2019-03-22T17:10:55.500000Z,3,6.327375,2.391125,-72.0,-77.0,-64.0,-79.5,-80.0,-67.0,-67.5
