Datetime,beaconid,realx,realy,edge_51,edge_53,edge_55,edge_56,edge_57
2019-04-01T23:09:25.000000Z,3,8.061333333333334,2.289,-77.66666666666667,-72.0,-78.0,-75.5,-80.0
2019-04-01T23:09:25.500000Z,3,7.88,2.2805,-64.0,-69.33333333333333,-77.0,-67.5,-74.5
2019-04-01T23:09:26.000000Z,3,7.698666666666667,2.272,-84.5,-69.75,-70.5,-82.0,-76.0
2019-04-01T23:09:26.500000Z,3,7.517333333333333,2.2635,-80.0,-63.5,-83.33333333333333,-78.0,-71.5
2019-04-01T23:09:27.000000Z,3,7.171428571428572,2.2587142857142855,-85.5,-63.5,-83.33333333333333,-78.0,-73.0
2019-04-01T23:09:27.500000Z,3,7.006857142857143,2.2624285714285715,-73.5,-76.5,-85.5,-83.5,-64.5
2019-04-01T23:09:28.000000Z,3,6.8422857142857145,2.266142857142857,-72.0,-62.0,-76.0,-68.0,-78.0
2019-04-01T23:09:28.500000Z,3,6.677714285714286,2.269857142857143,-84.66666666666667,-58.0,-76.0,-81.5,-73.66666666666667
2019-04-01T23:09:29.000000Z,3,6.513142857142857,2.2735714285714286,-73.25,-59.0,-73.66666666666667,-83.0,-81.66666666666667
2019-04-01T23:09:29.500000Z,3,6.348571428571429,2.2772857142857146,-81.0,-70.0,-84.5,-87.5,-91.0
2019-04-01T23:09:30.000000Z,3,6.027666666666667,2.281,-69.0,-62.0,-84.5,-79.0,-84.0
2019-04-01T23:09:30.500000Z,3,5.871333333333333,2.281,-75.25,-67.0,-75.0,-81.5,-72.5
2019-04-01T23:09:31.000000Z,3,5.715,2.281,-89.0,-71.0,-76.0,-70.0,-79.66666666666667
2019-04-01T23:09:31.500000Z,3,5.558666666666667,2.281,-78.0,-70.66666666666667,-81.0,-80.0,-78.0
2019-04-01T23:09:32.000000Z,3,5.402333333333334,2.281,-69.0,-69.5,-80.5,-76.5,-75.5
2019-04-01T23:09:32.500000Z,3,5.1025,2.282166666666667,-64.0,-76.5,-78.0,-88.0,-84.5
2019-04-01T23:09:33.000000Z,3,4.9590000000000005,2.283333333333333,-72.66666666666667,-83.0,-87.0,-83.0,-74.0
2019-04-01T23:09:33.500000Z,3,4.8155,2.2845,-63.666666666666664,-55.0,-74.0,-81.0,-74.0
2019-04-01T23:09:34.000000Z,3,4.672,2.2856666666666667,-66.5,-77.75,-86.5,-77.0,-89.0
2019-04-01T23:09:34.500000Z,3,4.5285,2.286833333333333,-74.66666666666667,-64.0,-76.0,-74.0,-75.0
2019-04-01T23:09:35.000000Z,3,4.1792,2.315,-65.25,-74.0,-74.0,-84.5,-81.5
2019-04-01T23:09:35.500000Z,3,3.9734,2.342,-63.2,-65.25,-71.66666666666667,-75.0,-76.75
2019-04-01T23:09:36.000000Z,3,3.7676,2.3689999999999998,-65.33333333333333,-74.75,-85.0,-82.33333333333333,-77.0
2019-04-01T23:09:36.500000Z,3,3.5618,2.396,-66.66666666666667,-69.0,-88.5,-81.0,-87.5
2019-04-01T23:09:37.000000Z,3,3.186,2.49,-75.0,-71.0,-78.0,-94.0,-74.5
2019-04-01T23:09:37.500000Z,3,3.016,2.557,-70.8,-68.0,-78.0,-73.0,-74.5
2019-04-01T23:09:38.000000Z,3,2.846,2.624,-70.66666666666667,-74.5,-92.0,-76.0,-76.33333333333333
2019-04-01T23:09:38.500000Z,3,2.676,2.691,-72.0,-80.5,-75.0,-77.0,-66.0
2019-04-01T23:09:39.000000Z,3,2.5060000000000002,2.758,-62.666666666666664,-68.0,-84.5,-93.5,-66.0
2019-04-01T23:09:39.500000Z,3,2.336,2.8249999999999997,-62.0,-79.66666666666667,-74.0,-85.33333333333333,-69.5
2019-04-01T23:09:40.000000Z,3,2.1631666666666667,3.0658333333333334,-60.0,-75.0,-81.5,-83.5,-79.66666666666667
2019-04-01T23:09:40.500000Z,3,2.1603333333333334,3.2396666666666665,-71.75,-85.0,-69.66666666666667,-76.0,-70.0
2019-04-01T23:09:41.000000Z,3,2.1574999999999998,3.4135,-77.25,-78.0,-80.5,-84.5,-80.0
2019-04-01T23:09:41.500000Z,3,2.1546666666666665,3.5873333333333335,-77.0,-72.5,-79.0,-89.0,-68.5
2019-04-01T23:09:42.000000Z,3,2.1518333333333333,3.761166666666667,-64.0,-74.33333333333333,-92.0,-78.0,-71.25
2019-04-01T23:09:42.500000Z,3,2.1462857142857144,4.152714285714286,-71.0,-88.0,-80.25,-84.0,-68.0
2019-04-01T23:09:43.000000Z,3,2.1435714285714287,4.3704285714285716,-75.0,-76.5,-75.5,-81.66666666666667,-73.5
2019-04-01T23:09:43.500000Z,3,2.140857142857143,4.5881428571428575,-75.5,-84.66666666666667,-86.5,-73.5,-81.0
2019-04-01T23:09:44.000000Z,3,2.138142857142857,4.805857142857143,-75.5,-78.33333333333333,-88.0,-73.5,-67.33333333333333
2019-04-01T23:09:44.500000Z,3,2.1354285714285712,5.023571428571429,-74.5,-78.0,-79.5,-71.0,-72.5
2019-04-01T23:09:45.000000Z,3,2.1327142857142856,5.2412857142857145,-77.75,-67.5,-79.5,-77.66666666666667,-70.5
2019-04-01T23:09:45.500000Z,3,2.1405,5.672833333333333,-79.0,-90.0,-79.0,-74.0,-69.0
2019-04-01T23:09:46.000000Z,3,2.151,5.886666666666667,-78.33333333333333,-61.0,-84.5,-95.0,-83.0
2019-04-01T23:09:46.500000Z,3,2.1615,6.1005,-78.0,-83.0,-87.66666666666667,-86.0,-77.0
2019-04-01T23:09:47.000000Z,3,2.172,6.314333333333333,-75.66666666666667,-86.0,-86.66666666666667,-99.0,-74.33333333333333
2019-04-01T23:09:47.500000Z,3,2.1825,6.5281666666666665,-76.6,-78.5,-81.0,-83.0,-79.33333333333333
2019-04-01T23:09:48.000000Z,3,2.193,6.742,-76.6,-80.0,-81.0,-93.0,-84.0
