Datetime,beaconid,realx,realy,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-24T23:42:08.500000Z,1,23.094666333333333,5.4046666666666665,-61.75,-67.5,-81.66666666666667,-64.25,-80.0,-94.0,-74.0,-76.5
2018-09-24T23:42:09.000000Z,1,22.72555511111111,5.316222222222222,-62.75,-59.666666666666664,-82.5,-68.8,-73.66666666666667,-95.0,-89.66666666666667,-64.5
2018-09-24T23:42:09.500000Z,1,22.35644388888889,5.227777777777778,-64.6,-59.5,-82.5,-61.0,-80.6,-85.5,-80.66666666666667,-80.33333333333333
2018-09-24T23:42:10.000000Z,1,21.987332666666667,5.139333333333333,-60.0,-58.333333333333336,-81.0,-64.33333333333333,-78.66666666666667,-82.5,-80.33333333333333,-75.0
2018-09-24T23:42:10.500000Z,1,21.618221444444444,5.050888888888888,-58.0,-64.66666666666667,-79.66666666666667,-65.0,-78.33333333333333,-86.5,-79.66666666666667,-68.0
2018-09-24T23:42:11.000000Z,1,21.24911022222222,4.962444444444444,-62.0,-62.333333333333336,-90.0,-67.5,-75.5,-90.0,-81.0,-79.0
2018-09-24T23:42:11.500000Z,1,20.865332499999997,5.203666666666667,-61.0,-61.25,-79.5,-57.5,-64.5,-89.0,-79.0,-71.75
2018-09-24T23:42:12.000000Z,1,20.850666,5.533333333333333,-62.333333333333336,-67.33333333333333,-75.0,-64.6,-70.0,-88.25,-78.66666666666667,-73.0
2018-09-24T23:42:12.500000Z,1,20.8359995,5.8629999999999995,-60.0,-60.666666666666664,-90.0,-68.0,-78.0,-82.0,-85.33333333333333,-77.0
2018-09-24T23:42:13.000000Z,1,20.821333,6.192666666666667,-52.666666666666664,-73.0,-81.33333333333333,-64.0,-76.66666666666667,-81.0,-74.5,-76.33333333333333
2018-09-24T23:42:13.500000Z,1,20.806666500000002,6.522333333333334,-64.25,-58.6,-77.0,-72.83333333333333,-70.0,-88.66666666666667,-81.5,-74.66666666666667
2018-09-24T23:42:14.000000Z,1,20.8081998,7.1752,-54.0,-64.4,-83.0,-65.0,-74.0,-86.0,-81.0,-78.5
2018-09-24T23:42:14.500000Z,1,20.8243996,7.4984,-57.2,-59.0,-83.25,-68.8,-80.0,-84.5,-77.0,-76.0
2018-09-24T23:42:15.000000Z,1,20.840599400000002,7.8216,-60.333333333333336,-61.2,-81.66666666666667,-67.25,-73.25,-92.0,-83.33333333333333,-75.25
2018-09-24T23:42:15.500000Z,1,20.8567992,8.1448,-66.0,-57.75,-71.5,-70.75,-76.33333333333333,-86.0,-87.33333333333333,-77.5
2018-09-24T23:42:16.000000Z,1,20.897249,8.809750000000001,-65.25,-58.25,-77.5,-66.5,-80.0,-82.5,-78.0,-79.75
2018-09-24T23:42:16.500000Z,1,20.921498999999997,9.1515,-65.75,-55.2,-76.25,-67.2,-77.75,-82.0,-85.75,-70.0
2018-09-24T23:42:17.000000Z,1,20.945749,9.49325,-66.75,-55.4,-79.0,-64.0,-75.75,-82.0,-83.0,-74.0
2018-09-24T23:42:17.500000Z,1,20.950598999999997,9.5616,-56.0,-53.5,-75.33333333333333,-72.0,-80.33333333333333,-92.0,-80.0,-80.66666666666667
2018-09-24T23:42:18.000000Z,1,20.931199,9.2882,-59.6,-59.75,-84.0,-69.5,-78.0,-83.5,-82.0,-83.5
